id	title	description	availability	condition	price	sale_price	link	image_link	brand	custom_label_0	custom_label_1	custom_label_2	custom_label_3
232	Tủ lạnh Samsung Inverter 616 lít RS64T5F01B4/SV	Tủ lạnh Samsung Inverter 616 lít RS64T5F01B4/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	57100000 VND	33500000 VND	http://localhost:51139/tu-lanh-samsung-inverter-616-lit-rs64t5f01b4-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-616-lit-rs64t5f01b4-sv-moi-2020.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )_Samsung	Tủ lạnh Side by side ( Lớn hơn 450 lit )
231	Tủ lạnh Samsung Inverter 617 lít RS64R5301B4/SV	Tủ lạnh Samsung Inverter 617 lít RS64R5301B4/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	37500000 VND	24650000 VND	http://localhost:51139/tu-lanh-samsung-inverter-617-lit-rs64r5301b4-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-617-lit-rs64r5301b4-sv_6525.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )_Samsung	Tủ lạnh Side by side
230	Tủ lạnh Samsung Inverter 617 lít RS64R5101SL/SV	Tủ lạnh Samsung Inverter 617 lít RS64R5101SL/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	28150000 VND	28150000 VND	http://localhost:51139/tu-lanh-samsung-inverter-617-lit-rs64r5101sl-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-617-lit-rs64r5101sl-sv.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )_Samsung	Tủ lạnh Side by side
229	Tủ lạnh Samsung Inverter 647 lít RS62R5001M9/SV	Tủ lạnh Samsung Inverter 647 lít RS62R5001M9/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	19780000 VND	13990000 VND	http://localhost:51139/tu-lanh-samsung-inverter-647-lit-rs62r5001m9-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-647-lit-rs62r5001m9-sv.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )_Samsung	Tủ lạnh Side by side
228	Tủ lạnh Samsung Inverter 647 lít RS62R5001B4/SV	Tủ lạnh Samsung Inverter 647 lít RS62R5001B4/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	21500000 VND	15490000 VND	http://localhost:51139/tu-lanh-samsung-inverter-647-lit-rs62r5001b4-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-647-lit-rs62r5001b4-sv.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )_Samsung	Tủ lạnh Side by side ( Lớn hơn 450 lit )
227	Tủ lạnh Samsung Inverter 586 lít RT58K7100BS/SV	Tủ lạnh Samsung Inverter 586 lít RT58K7100BS/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	17150000 VND	17150000 VND	http://localhost:51139/tu-lanh-samsung-inverter-586-lit-rt58k7100bs-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-586-lit-rt58k7100bs-sv.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
226	Tủ lạnh Samsung Inverter 502 lít RT50K6631BS/SV	Tủ lạnh Samsung Inverter 502 lít RT50K6631BS/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	16350000 VND	16350000 VND	http://localhost:51139/tu-lanh-samsung-inverter-502-lit-rt50k6631bs-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-502-lit-rt50k6631bs-sv.png	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
225	Tủ lạnh Samsung Inverter 451 lít RT46K6885BS/SV	Tủ lạnh Samsung Inverter 451 lít RT46K6885BS/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	10990000 VND	10990000 VND	http://localhost:51139/tu-lanh-samsung-inverter-451-lit-rt46k6885bs-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-451-lit-rt46k6885bs-sv.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
224	Tủ lạnh Samsung Inverter 451 lít RT46K6836SL/SV	Tủ lạnh Samsung Inverter 451 lít RT46K6836SL/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	16380000 VND	16380000 VND	http://localhost:51139/tu-lanh-samsung-inverter-451-lit-rt46k6836sl-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-451-lit-rt46k6836sl-sv.png	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
223	Tủ lạnh Samsung Inverter 380 lít RT38K50822C/SV Mới	Tủ lạnh Samsung Inverter 380 lít RT38K50822C/SV Mới Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	13150000 VND	13150000 VND	http://localhost:51139/tu-lanh-samsung-inverter-380-lit-rt38k50822c-sv-moi/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-380-lit-rt38k50822c-sv-moi-2020.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
